date,trade_vol
2015-08-01,90.964568409639
2015-09-01,90.747247265809
2015-10-01,90.7487576288509
2015-11-01,90.0621177173346
2015-12-01,90.7593661581718
2016-01-01,90.4350364916802
2016-02-01,90.554379933844
2016-03-01,89.570166516311
2016-04-01,89.6263974786761
2016-05-01,89.5859374714674
2016-06-01,90.5175681722519
2016-07-01,89.9969502074771
2016-08-01,91.482003219349
2016-09-01,90.9736003421554
2016-10-01,91.2251079128139
2016-11-01,92.5723860571982
2016-12-01,93.7381081132022
2017-01-01,92.9379191980454
2017-02-01,92.488587762303
2017-03-01,94.0443405434785
2017-04-01,93.6839700838691
2017-05-01,94.1390645821643
2017-06-01,94.2123674649612
2017-07-01,93.9987059951592
2017-08-01,94.8646233243632
2017-09-01,95.430911835132
2017-10-01,94.2995738675357
