date,gscpi
2011-12-31,-0.03476179561897403
2012-01-31,0.3901156756256278
2012-02-29,0.024743258824675388
2012-03-31,-0.35161976524601235
2012-04-30,-0.30737805547356234
2012-05-31,-0.6557690940831638
2012-06-30,-0.6956686459612191
2012-07-31,-0.6702498190219016
2012-08-31,-0.1282347856346597
2012-09-30,-0.2477765486252389
2012-10-31,0.012756413047633133
2012-11-30,-0.3384144359927629
2012-12-31,-0.13618269129004895
2013-01-31,-0.03575352226770347
2013-02-28,-0.3609858247451694
2013-03-31,-0.5280203258817109
2013-04-30,-0.714027235413654
2013-05-31,-0.8439734245920997
2013-06-30,-0.6517203075424747
2013-07-31,-0.6458963072372399
2013-08-31,-0.5577147159193979
2013-09-30,-0.26989777827560857
2013-10-31,-0.17901965028707487
2013-11-30,-0.6867038488475324
