date,ships_anchored,brent_price,bpi,ship_cap,corn_price,gscpi,Gulf,PNW,trade_vol,ships_waiting,wheat_price,bpi_volatility,brent_price_trend,brent_price_seasonal,bpi_trend,bpi_seasonal
2021-10-18,64.0,83.944,4008.6,1597843.0,522.6033333333334,3.387179675669188,84.25,46.5,100.221159836092,104.0,730.4883333333333,50.06954995430285,82.11862820512822,-0.11675077925558892,3131.158333333333,224.6728222027037
2021-10-25,66.0,85.128,4272.2,1702527.0,535.7716666666666,3.387179675669188,84.75,47.0,100.221159836092,108.0,751.985,68.96755610978576,82.9041217948718,-0.18535005160486,3142.4749999999995,211.40144399757568
2021-11-01,70.0,84.048,3939.0,1632495.0,563.0616666666666,3.933635446274131,91.0,50.0,103.099469237233,116.0,771.7083333333334,119.99065186831145,83.64497275641028,-0.9997765069063163,3149.3355769230766,160.18593117706277
2021-11-08,72.0,82.264,3147.8,1771718.0,560.15,3.933635446274131,89.5,49.0,103.099469237233,112.0,774.875,193.0507016660227,84.39938141025642,-1.3642210235383307,3154.2749999999996,67.89384784372952
2021-11-15,71.0,83.134,2912.0,1822254.0,569.45,3.933635446274131,84.5,45.25,103.099469237233,122.0,807.45,71.46951338372976,85.17670833333334,-1.8180982324780404,3158.9423076923076,36.92984143347304
2021-11-22,73.0,81.436,2343.4,1774309.0,573.35,3.933635446274131,78.0,42.0,103.099469237233,104.0,823.855,143.98108887844475,86.0021121794872,-1.9237078998377084,3166.298076923077,27.677533741165348
2021-11-29,75.0,78.712,2606.8,1639645.0,582.0,3.933635446274131,70.0,37.5,103.099469237233,85.0,834.0,110.7074019221648,86.92340064102565,-2.240286165603473,3174.502403846154,95.64545040783203
2021-12-06,73.0,71.008,3104.0,1760446.0,577.1,4.3352919603595215,70.5,37.5,104.403883778905,64.0,792.4583333333334,123.62828070846538,87.92341987179488,-2.7960009525057608,3177.7105769230766,138.83477733090893
2021-12-13,55.0,74.936,3061.6,1761610.0,586.45,4.3352919603595215,71.0,37.5,104.403883778905,127.0,786.3,78.40533369602528,88.98349679487181,-3.002766718271525,3172.6990384615387,80.2158457069772
2021-12-20,26.0,73.03999999999999,2496.2,1810111.0,590.0,4.3352919603595215,72.5,39.0,104.403883778905,126.0,773.625,160.19526405792277,90.00124679487179,-2.7320264202812283,3160.9375000000005,-1.0652226690910709
